#ORDER#,#TIMESN#,#SWITCH_MODEL#,#CFGTEMPLET#,#SYSTEM-SOFTWARE#,#SYSTEM-PAT#,#ESN#,#MAC-ADDRESS#,#SYSNAME#,#MGMT_IP#,#MGMT_NETAMST#,#VLAN01_ID#,#VLAN01_IP#,#VLAN01_NETMAST#,#NTP_IP#,#LASIP#,$VLAN**_ID$,$VLAN**_IP$,$VLAN**_NETMAST$
1,#TIMESN#,S5731S-H48T4XC-A,5731_vrpcfg.cfg,S5731S-H-V200R019C10SPC500.cc,S5731S-H-V200R019SPH020.pat,102080033600,5825-754F-A560,ATC_ZSCN_OOB_SW_A,192.168.1.253,255.255.255.0,40,172.30.1.254,255.255.255.0,172.30.1.118,172.30.1.237,10,10.1.10.1,255.255.255.0
2,#TIMESN#,S5731S-H48T4XC-A,5731_vrpcfg.cfg,S5731S-H-V200R019C10SPC500.cc,S5731S-H-V200R019SPH020.pat,102080033600,5825-754F-A561,ATC_ZSCN_OOB_SW_B,192.168.1.253,255.255.255.0,40,172.30.1.253,255.255.255.0,172.30.1.118,172.30.1.237,11,10.1.10.2,255.255.255.1
3,#TIMESN#,S5731S-H48T4XC-A,5731_vrpcfg.cfg,S5731S-H-V200R019C10SPC500.cc,S5731S-H-V200R019SPH020.pat,102080033600,5825-754F-A562,ATC_ZSCN_OOB_SW_C,192.168.1.253,255.255.255.0,40,172.30.1.252,255.255.255.0,172.30.1.118,172.30.1.237,12,10.1.10.3,255.255.255.2
4,#TIMESN#,S5731S-H48T4XC-A,5731_vrpcfg.cfg,S5731S-H-V200R019C10SPC500.cc,S5731S-H-V200R019SPH020.pat,102080033600,5825-754F-A563,ATC_ZSCN_OOB_SW_D,192.168.1.253,255.255.255.0,40,172.30.1.251,255.255.255.0,172.30.1.118,172.30.1.237,13,10.1.10.4,255.255.255.3
5,#TIMESN#,S7706,5731_vrpcfg.cfg,S7700-V200R019C10SPC500-SRUHA.cc,S5731S-H-V200R019SPH021.pat,102080033600,5825-754F-A564,ATC_ZSCN_CORE_SW_A,172.30.1.1,255.255.255.0,10,192.28.4.241,255.255.255.0,172.30.1.118,172.30.1.237,14,10.1.10.5,255.255.255.4
6,#TIMESN#,S7706,5731_vrpcfg.cfg,S7700-V200R019C10SPC500-SRUHA.cc,S5731S-H-V200R019SPH022.pat,102080033600,5825-754F-A565,ATC_ZSCN_CORE_SW_B,172.30.1.2,255.255.255.0,20,193.28.4.241,255.255.255.0,172.30.1.118,172.30.1.237,15,10.1.10.6,255.255.255.5
7,#TIMESN#,S7706,5731_vrpcfg.cfg,S7700-V200R019C10SPC500-SRUHA.cc,S5731S-H-V200R019SPH023.pat,102080033600,5825-754F-A566,ATC_ZSCN_CORE_SW_C,172.30.1.3,255.255.255.0,30,195.28.4.241,255.255.255.0,172.30.1.118,172.30.1.237,16,10.1.10.7,255.255.255.6
8,#TIMESN#,S5731S-H48T4XC-A,5731_vrpcfg.cfg,S5731S-H-V200R019C10SPC500.cc,S5731S-H-V200R019SPH024.pat,102080033600,5825-754F-A567,ATC_ZSCN_ACC_SW_A,172.30.1.4,255.255.255.0,10,192.28.4.242,255.255.255.0,172.30.1.118,172.30.1.237,17,10.1.10.8,255.255.255.7
9,#TIMESN#,S5731S-H48T4XC-A,5731_vrpcfg.cfg,S5731S-H-V200R019C10SPC500.cc,S5731S-H-V200R019SPH020.pat,102080033600,5825-754F-A568,ATC_ZSCN_ACC_SW_B,172.30.1.5,255.255.255.0,20,193.28.4.242,255.255.255.0,172.30.1.118,172.30.1.237,18,10.1.10.9,255.255.255.8
10,#TIMESN#,S5731S-H48T4XC-A,5731_vrpcfg.cfg,S5731S-H-V200R019C10SPC500.cc,S5731S-H-V200R019SPH020.pat,102080033600,5825-754F-A569,ATC_ZSCN_ACC_SW_C,172.30.1.6,255.255.255.0,30,195.28.4.242,255.255.255.0,172.30.1.118,172.30.1.237,19,10.1.10.10,255.255.255.9
11,#TIMESN#,S5731S-H48T4XC-A,5731_vrpcfg.cfg,S5731S-H-V200R019C10SPC500.cc,S5731S-H-V200R019SPH020.pat,102080033600,5825-754F-A570,ATC_ZSCN_APP_SW_A,172.30.1.7,255.255.255.0,10,192.28.4.243,255.255.255.0,172.30.1.118,172.30.1.237,20,10.1.10.11,255.255.255.10
12,#TIMESN#,S5731S-H48T4XC-A,5731_vrpcfg.cfg,S5731S-H-V200R019C10SPC500.cc,S5731S-H-V200R019SPH020.pat,102080033600,5825-754F-A571,ATC_ZSCN_APP_SW_B,172.30.1.8,255.255.255.0,20,193.28.4.243,255.255.255.0,172.30.1.118,172.30.1.237,21,10.1.10.12,255.255.255.11
13,#TIMESN#,S5731S-H48T4XC-A,5731_vrpcfg.cfg,S5731S-H-V200R019C10SPC500.cc,S5731S-H-V200R019SPH020.pat,102080033600,5825-754F-A572,ATC_ZSCN_APP_SW_C,172.30.1.9,255.255.255.0,30,195.28.4.243,255.255.255.0,172.30.1.118,172.30.1.237,22,10.1.10.13,255.255.255.12
14,#TIMESN#,S5731S-H48T4XC-A,5731_vrpcfg.cfg,S5731S-H-V200R019C10SPC500.cc,S5731S-H-V200R019SPH020.pat,102080033600,5825-754F-A573,ATC_ZSCN_TWR_SW_A,172.30.1.10,255.255.255.0,10,192.28.4.244,255.255.255.0,172.30.1.118,172.30.1.237,23,10.1.10.14,255.255.255.13
15,#TIMESN#,S5731S-H48T4XC-A,5731_vrpcfg.cfg,S5731S-H-V200R019C10SPC500.cc,S5731S-H-V200R019SPH020.pat,102080033600,5825-754F-A574,ATC_ZSCN_TWR_SW_B,172.30.1.11,255.255.255.0,20,193.28.4.244,255.255.255.0,172.30.1.118,172.30.1.237,24,10.1.10.15,255.255.255.14
16,#TIMESN#,S5731S-H48T4XC-A,5731_vrpcfg.cfg,S5731S-H-V200R019C10SPC500.cc,S5731S-H-V200R019SPH020.pat,102080033600,5825-754F-A575,ATC_ZSCN_TWR_SW_C,172.30.1.12,255.255.255.0,30,195.28.4.244,255.255.255.0,172.30.1.118,172.30.1.237,25,10.1.10.16,255.255.255.15
17,#TIMESN#,S5731S-H48T4XC-A,5731_vrpcfg.cfg,S5731S-H-V200R019C10SPC500.cc,S5731S-H-V200R019SPH020.pat,102080033600,5825-754F-A576,ATC_ZSCN_FEIFU_SW_A,172.30.1.13,255.255.255.0,10,192.28.4.245,255.255.255.0,172.30.1.118,172.30.1.237,26,10.1.10.17,255.255.255.16
18,#TIMESN#,S5731S-H48T4XC-A,5731_vrpcfg.cfg,S5731S-H-V200R019C10SPC500.cc,S5731S-H-V200R019SPH020.pat,102080033600,5825-754F-A577,ATC_ZSCN_FEIFU_SW_B,172.30.1.14,255.255.255.0,20,193.28.4.245,255.255.255.0,172.30.1.118,172.30.1.237,27,10.1.10.18,255.255.255.17
